Designator,Footprint,Quantity,Value,LCSC Part #
"R108, R117, R123, R126, R129, R45, R48, R53, R54, R63, R64, R68, R74, R79, R81, R84, R93, R96, R97",0402,19,100R,C25076
R120,0402,1,150K,C25755
"R122, R124",0402,2,120K,C25750
R125,0402,1,75K,C25798
R128,0402,1,49.9K,C25897
"R2, R5, R6",0603,3,100K,C25803
R3,0603,1,200K,C25811
"R4, R7",0603,2,10K,C25804
R47,0402,1,10M,C26082
R49,0402,1,33K,C25779
"R66, R67, R71, R72, R77, R78",0402,6,200K,C25764
"R80, R82, R83, R85",0402,4,220K,C25767
R89,0402,1,470K,C25790
R90,0402,1,4.7K,C25900
R91,0603,1,240K,C4197
R94,0603,1,2.2K,C4190
R95,0603,1,2K,C22975
"RV1, RV2, RV3, RV4",Potentiometer_RV09,4,B10K,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",ToggleSwitch_2MS1-T2-B4-M2-Q-E-S,8,SW_SPDT,
TP1,TestPoint_Pad_1.0x1.0mm,1,+5V_TP,
TP2,TestPoint_Pad_1.0x1.0mm,1,-5V_TP,
TP3,TestPoint_Pad_1.0x1.0mm,1,+10V_TP,
"U1, U10, U11, U12, U2, U3, U4, U5, U6, U7, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,12,TL074CDR,C12594
"U13, U14",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072CDT,C6961
U15,SOT-23,1,CJ431,C3113
